,Product Name,Price,Body Material,Body Shape,Body Finish,Neck Material,Neck Finish,Neck Shape,Scale Length,Fingerboard Material,Fingerboard Radius,Number of Frets,Fret Size,Nut Material,Nut Width,Position Inlays,Truss Rod,Bridge Pickup,Neck Pickup,Controls,Configuration,Bridge,Hardware Finish,Tuning Machines,Pickguard,Control Knobs,Strings,Legal Notice,Case/Gig Bag,Included Accessories,Neck Construction,Side Dots,Truss Rod Nut,Middle Pickup,Switching,Neck Plate,Recommended Case,Special Electronics,Auxillary Switching,Neck Binding,Other Features,Body Binding
56,Jaco Pastorius Jazz Bass®,"3,079.00 €",Ontano selezionato,Jazz Bass®,Gloss Lacquer,Maple,Gloss Nitrocellulose Lacquer,"""C"" Shape","34"" (86.36 cm)",Pau Ferro,"12"" (305 mm)",Fretless,Fretless,Synthetic Bone,"1.5"" (38.1 mm)",Segnaposizione Laterali,Vintage-Style Butt Adjust,American Vintage Single-Coil Jazz Bass®,American Vintage Single-Coil Jazz Bass®,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle American Vintage Bass,Nickel/Chrome,American Vintage Reverse Open-Gear Bass,,Knurled Flat-Top,"Fender® USA 9050M Stainless Steel Flatwound (.055-.105 Gauges), PN 0739050406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Deluxe Brown Hardshell (Gold Interior),"Deluxe Brown Hardshell Case, Strap, Cable",,,,,None,4-Bolt Custom,,,,,"Knurled Chrome P Bass®; Knobs, Special Jaco Tribute Neck Plate, Side Dot Position Markers are Centered Between the Fretlines",
57,Nate Mendel P Bass®,"1,749.00 €",Frassino,Precision Bass®,Gloss Lacquer,Maple,Gloss Nitrocellulose Lacquer,"Slim ""C"" (Based on Mendel's '71 Precision Bass®)","34"" (86.36 cm)",Rosewood,"7.25"" (184.1 mm)",20,Medium Jumbo,Synthetic Bone,"1.615"" (41.02 mm)",Bianchi a Punto in Pearloid,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",S,Fender HiMass™ with Chrome-Plated Zinc Saddles,Chrome,Fender® '70s Vintage-Style Stamped Open-Gear,3-Ply Black,Knurled Flat-Top,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Seymour Duncan® Basslines SPB-3 Quarter Pound Split Single-Coil Precision Bass®,None,"4-Bolt with ""F"" Logo","Deluxe Bass Molded Case, P/N 0996162306 (Not Included)",,,,"Slim neck with smaller nut width, Seymour Duncan® Quarter Pound™ pickup, lightly Road Worn® lacquer finish, extra neck plate included with ""Fender/Foos"" logo.",
58,Basso Jaguar® Mike Kerr in Edizione Limitata,"1,689.00 €",Ontano,Jaguar® Bass,Gloss Polyester,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""C""","30"" (762 mm)",Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",Bianchi A Blocchetto in Pearloid,Head Adjust,Fender® Custom Humbucking,,"Master Volume, Master Tone",HH,4-Saddle HiMass™ Vintage-Style Bass,Gold,Vintage-Style Open-Back,3-Ply Black,Black Plastic,Nickel Plated Steel (.040-.095 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Deluxe Gig Bag with Tiger Embroidery (Leopard Print Interior),,4-Bolt Standard,White,"3/16"" Hex Adjustment","Fender® ""Wide Range"" Humbucking Bass","3-Position Toggle:  Position 1. Bridge Pickup, Position 2. Bridge And Neck Pickups, Position 3. Neck Pickup",4-Bolt with Custom Mike Kerr Logo,,,,,,
59,"Limited Edition Player Precision Bass®, Daytona Blue",999.00 €,Ontano,Precision Bass®,Gloss Polyester,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Bianchi,Standard,,,"Master Volume, Master Tone",S,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,,,"3/16"" Hex Adjustment",Seymour Duncan® Saturday Night Special™ Alnico 4 Hot P Bass®,None,"4-Bolt with ""F"" Logo","Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
60,Gold Foil Jazz Bass®,"1,389.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Satin Urethane with Matched Headcap,"""U"" Shape","34"" (86.36 cm)",Ebony,"9.5"" (241 mm)",20,Medium Jumbo,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid,Vintage-Style Butt Adjust,Vintage-Style Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Vintage-Style,Nickel/Chrome,Vintage Style,3-Ply Parchment,"Aged White ""Witch Hat""",Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,4-Bolt Standard,Black,Vintage-Style Butt Adjust,Vintage-Style Single-Coil Jazz Bass®,None,3-Bolt,,,,1-Ply White,,
61,Precision Bass® Made in Japan Limited International Color,"1,549.00 €",Tiglio,Precision Bass®,Gloss Polyester,Maple,Gloss Urethane,"""U"" Shape","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Bone,"1.578"" (40 mm)",A Punto Nero,,,,"Master Volume, Master Tone",S,4-Saddle Vintage-Style,Nickel/Chrome,Vintage Style,3-Ply Eggshell,Knurled Flat-Top,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Vintage-Style Split Single-Coil Precision Bass®,None,4-Bolt,,,,,,
62,"Made in Japan Limited Hybrid II Jazz Bass®, Noir","1,499.00 €",Ontano,Jazz Bass®,Satin Urethane,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",21,Narrow Tall,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,,Hybrid II Custom Voiced Single Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Vintage-Style,Black Nickel,Vintage-Style,3-Ply Black/Red/Black,Black Plastic,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Hybrid II Custom Voiced Single Coil Jazz Bass®,None,4-Bolt,,,,,,
63,Aerodyne Special Precision Bass®,"1,479.00 €",Tiglio,Precision Bass®,Gloss Polyester,Maple,Satin Polyester with Gloss Polyester Headstock Face,"Modern ""C""","34"" (864 mm)",Maple,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Punti Neri in Pearloid,Head Adjust,,,"Master Volume, Master Tone",Split Single-Coil,Babicz® Z-Series FCH-4 Bass,Chrome,Standard Open-Gear,,Knurled Flat-Top,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,Black,,Aerodyne® Special Precision Bass®,None,4-Bolt,,,,,,1-Ply Cream
64,Made in Japan Limited International Color Jazz Bass®,"1,549.00 €",Tiglio,Jazz Bass®,Gloss Polyester,Maple,Gloss Urethane,"""U"" Shape","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Bone,"1.5"" (38.1 mm)",Bianchi A Blocchetto in Pearloid,,Vintage-Style Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Vintage-Style,Nickel/Chrome,Vintage Style,3-Ply Eggshell,Black Plastic,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Vintage-Style Single-Coil Jazz Bass®,None,3-Bolt,,,,,,
65,Jazz Bass® Hybrid II Made in Japan,"1,599.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front","Modern ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",21,Narrow Tall,Bone,"1.5"" (38.1 mm)",A Punto Bianchi,,Hybrid II Custom Voiced Single Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Vintage-Style,Nickel/Chrome,Vintage-Style,3-Ply Black,Black Plastic,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Hybrid II Custom Voiced Single Coil Jazz Bass®,None,4-Bolt,,,,,,
66,Adam Clayton Jazz Bass®,"2,839.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Custom Adam Clayton ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",Bianchi A Blocchetto in Pearloid,Vintage-Style Butt Adjust,Custom Shop '60s Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Fender HiMass™ with Chrome-Plated Zinc Saddles,Chrome,"Fender®/Hipshot® Vintage-Style ""Lollipop""",4-Ply White Pearloid,Vintage-Style Black Plastic Jazz Bass®,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Black Hardshell,,,,,Custom Shop '60s Single-Coil Jazz Bass®,None,4-Bolt,,,,,,
67,USA Geddy Lee Jazz Bass®,"2,999.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,"Hand Rubbed Oil on Back, Gloss Urethane on Front","Custom Thick ""C""","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Bone,"1.5"" (38.1 mm)",Bianchi A Blocchetto in Pearloid,Vintage-Style Butt Adjust,Custom Voiced American Vintage '70s Geddy Lee,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Geddy Lee High Mass Bridge,Nickel/Chrome,American Vintage Reverse Open-Gear Bass,4-Ply Aged White Pearloid,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250ML Nickel Plated Steel (.045-.100 Gauges), PN 0737250405",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,ABS Molded,,,,,Custom Voiced American Vintage '70s Geddy Lee,None,4-Bolt,,,,1-Ply White,"Geddy Lee Signature on Back of Headstock, Vintage-Style Black Plastic Jazz Bass Control Knobs, Single Disk String Tree, ‘70s Headstock Logo,",
68,USA Geddy Lee Jazz Bass®,"2,999.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,"Hand Rubbed Oil on Back, Gloss Urethane on Front","Custom Thick ""C""","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Bone,"1.5"" (38.1 mm)",Bianchi A Blocchetto in Pearloid,Vintage-Style Butt Adjust,Custom Voiced American Vintage '70s Geddy Lee,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Geddy Lee High Mass Bridge,Nickel/Chrome,American Vintage Reverse Open-Gear Bass,4-Ply Aged White Pearloid,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250ML Nickel Plated Steel (.045-.100 Gauges), PN 0737250405",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,ABS Molded,,,,,Custom Voiced American Vintage '70s Geddy Lee,None,4-Bolt,,,,1-Ply White,"Geddy Lee Signature on Back of Headstock, Vintage-Style Black Plastic Jazz Bass Control Knobs, Single Disk String Tree, ‘70s Headstock Logo,",
69,Vintera® '60s Jazz Bass®,"1,199.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Gloss Urethane,"Mid '60s ""C""","34"" (86.36 cm)",Pau Ferro,"7.25"" (184.1 mm)",20,Vintage,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Vintage-Style,Vintage-Style '60s Single-Coil Jazz Bass®,Vintage-Style '60s Single-Coil Jazz Bass®,"Volume 1. (Neck Pickup), Volume 2. (Bridge Pickup), Tone",SS,4-Saddle American Vintage Bass,Nickel/Chrome,American Vintage Reverse Open-Gear Bass,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,,,,None,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
